#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"
206000	-746.2886575736652	296.3786626800674	1.49e+03	59.444905519485474
207000	-777.2536042613297	309.50540382793673	1.49e+03	59.735899925231934
208000	-779.8659723511088	326.81217489641176	1.49e+03	60.02591848373413
209000	-742.0603501664797	316.39465973379384	1.49e+03	60.31561875343323
210000	-706.9832918812835	298.61472349822884	1.49e+03	60.60467505455017
211000	-706.7878591143788	297.3455266077084	1.49e+03	60.89417028427124
212000	-748.6290965304672	325.3732436945865	1.49e+03	61.18127703666687
213000	-745.8087816602683	320.30772666740864	1.49e+03	61.46481204032898
214000	-762.4330659651729	320.1186223941184	1.49e+03	61.75263714790344
215000	-704.4289550121725	287.1366388714876	1.49e+03	62.03964400291443
216000	-733.7883893401265	298.13740946816023	1.49e+03	62.32857584953308
217000	-725.2695103705148	279.1407944249959	1.49e+03	62.61852264404297
218000	-763.5185191416122	296.30096914893994	1.49e+03	62.907264947891235
219000	-741.8720509480153	282.25205526919615	1.49e+03	63.19461154937744
220000	-709.8941829627882	252.45309058016636	1.49e+03	63.48222231864929
221000	-775.3319250533184	305.29465837448794	1.49e+03	63.76881742477417
222000	-733.5035539742078	277.04970846493785	1.49e+03	64.05717062950134
223000	-735.5670260361993	291.4935104804075	1.49e+03	64.34453630447388
224000	-746.1055994857452	293.69603134475415	1.49e+03	64.62753534317017
225000	-737.0678933698008	288.66087123651204	1.49e+03	64.91411256790161
226000	-715.5043805204208	285.66023565809036	1.49e+03	65.19872832298279
227000	-710.8643341962352	269.1373680747513	1.49e+03	65.4838273525238
228000	-737.1074273245014	299.6246774427242	1.49e+03	65.7710428237915
229000	-710.9261845432475	269.19320365515296	1.49e+03	66.05722212791443
230000	-722.7178696612832	287.27497944293214	1.49e+03	66.34309649467468
231000	-740.1621820065612	300.11055316454105	1.49e+03	66.62894582748413
232000	-738.6748818455293	283.8210880948234	1.49e+03	66.91507196426392
233000	-732.2601284770515	280.0982808683345	1.49e+03	67.19808220863342
234000	-738.3803183703064	305.5909632176206	1.49e+03	67.48298668861389
235000	-747.1425357887429	278.26269293610295	1.49e+03	67.76489901542664
236000	-744.5845883058428	268.6469030833857	1.49e+03	68.05220532417297
237000	-742.2811447682373	264.59486386433645	1.49e+03	68.33507084846497
238000	-727.7268389506122	277.036014823465	1.49e+03	68.61905765533447
